tau_fn,iv_strength,dgp,num_data,estimator,run,R2avg,R2fin,R2earlystop,MSEavg,MSEfin,MSEearlystop
sin,0.6,z_image,2000,AGMM,1,0.88541,0.7979331,0.89821565,0.01220829,0.021527987,0.010843996
sin,0.6,z_image,2000,AGMM,2,0.90191174,0.53333724,0.9093112,0.012411511,0.059048768,0.0114752315
sin,0.6,z_image,2000,AGMM,3,0.6787461,0.55927896,0.67833596,0.032441072,0.044505183,0.03248249
sin,0.6,z_image,2000,AGMM,4,0.80496514,0.8757278,0.85587776,0.02166935,0.013807267,0.01601271
sin,0.6,z_image,2000,AGMM,5,0.7986146,0.81449795,0.7615192,0.022857226,0.021054469,0.027067548
abs,0.6,z_image,2000,AGMM,1,0.9567664,0.9092205,0.9166639,0.012197766,0.025612198,0.02351216
abs,0.6,z_image,2000,AGMM,2,0.97888976,0.97175926,0.90203094,0.006301342,0.008429776,0.029243477
abs,0.6,z_image,2000,AGMM,3,0.9789412,0.95874244,0.9911257,0.006418364,0.012574601,0.002704732
abs,0.6,z_image,2000,AGMM,4,0.9629068,0.95482653,0.89442134,0.009970787,0.01214278,0.028379893
abs,0.6,z_image,2000,AGMM,5,0.9845296,0.9371216,0.89002395,0.0038195234,0.015524225,0.02715231
