tau_fn,iv_strength,dgp,num_data,estimator,run,R2_avg,R2_fin,MSE_avg,MSE_fin,MSE_earlystop
abs,0.3,z_image,2000,AGMM,1,0.6857599020004272,0.6184637546539307,0.07504916936159134,0.09112133085727692,0.2886638939380646
abs,0.3,z_image,2000,AGMM,2,0.697761595249176,0.37508851289749146,0.06545806676149368,0.1353418231010437,0.09861654043197632
abs,0.3,z_image,2000,AGMM,3,0.7088091373443604,0.37169796228408813,0.05478421598672867,0.11820779740810394,0.034981947392225266
abs,0.3,z_image,2000,AGMM,4,0.5974512696266174,0.5625340938568115,0.07303991913795471,0.07937541604042053,0.055849943310022354
abs,0.3,z_image,2000,AGMM,5,0.9063907861709595,0.7473856210708618,0.01986858621239662,0.05361749976873398,0.026397259905934334
abs,0.6,z_image,2000,AGMM,1,0.9576830863952637,0.9523061513900757,0.00964836310595274,0.010874317027628422,0.019532358273863792
abs,0.6,z_image,2000,AGMM,2,0.895300567150116,0.8847092986106873,0.023250794038176537,0.025602824985980988,0.03162873908877373
abs,0.6,z_image,2000,AGMM,3,0.9590750336647034,0.9632108807563782,0.010912563651800156,0.009809741750359535,0.02048538252711296
abs,0.6,z_image,2000,AGMM,4,0.9755321741104126,0.9691852927207947,0.00731845386326313,0.009216857142746449,0.01495386566966772
abs,0.6,z_image,2000,AGMM,5,0.9374118447303772,0.8572717905044556,0.014803538098931313,0.033758509904146194,0.059021368622779846
abs,0.9,z_image,2000,AGMM,1,0.9941301345825195,0.9873160719871521,0.002373734023422003,0.005129283759742975,0.0034994930028915405
abs,0.9,z_image,2000,AGMM,2,0.8399317264556885,0.9337424039840698,0.04935592785477638,0.0204300619661808,0.05420547351241112
abs,0.9,z_image,2000,AGMM,3,0.9917569756507874,0.995822012424469,0.003129485296085477,0.0015861883293837309,0.008383086882531643
abs,0.9,z_image,2000,AGMM,4,0.9838284254074097,0.9701839685440063,0.005439858417958021,0.010029638186097145,0.009557949379086494
abs,0.9,z_image,2000,AGMM,5,0.9717801809310913,0.980349063873291,0.010308119468390942,0.007178089581429958,0.007215429563075304
sin,0.3,z_image,2000,AGMM,1,-0.08860623836517334,-0.3018312454223633,0.09790965169668198,0.11708719283342361,0.06831900775432587
sin,0.3,z_image,2000,AGMM,2,-0.025698542594909668,-0.36600756645202637,0.09280462563037872,0.12359558790922165,0.0630178153514862
sin,0.3,z_image,2000,AGMM,3,-0.6064183712005615,-0.5078456401824951,0.15187059342861176,0.14255154132843018,0.12748563289642334
sin,0.3,z_image,2000,AGMM,4,-0.08612847328186035,-0.6680982112884521,0.10231777280569077,0.15714173018932343,0.07941028475761414
sin,0.3,z_image,2000,AGMM,5,0.2799929976463318,-0.10130321979522705,0.06185581162571907,0.0946129709482193,0.05447031930088997
sin,0.6,z_image,2000,AGMM,1,0.9144123196601868,0.8911422491073608,0.009133675135672092,0.01161698903888464,0.010253696702420712
sin,0.6,z_image,2000,AGMM,2,0.6903477907180786,0.7404753565788269,0.03888842463493347,0.032593030482530594,0.0419168584048748
sin,0.6,z_image,2000,AGMM,3,0.5855095982551575,0.6585705280303955,0.03923892229795456,0.03232239559292793,0.03907237946987152
sin,0.6,z_image,2000,AGMM,4,0.8025552034378052,0.7833842039108276,0.026263585314154625,0.02881365828216076,0.03281470015645027
sin,0.6,z_image,2000,AGMM,5,0.6927079558372498,0.601722240447998,0.03745465353131294,0.04854455590248108,0.022561078891158104
sin,0.9,z_image,2000,AGMM,1,0.771631121635437,0.835338294506073,0.03166421875357628,0.02283097431063652,0.0404839813709259
sin,0.9,z_image,2000,AGMM,2,0.8563625812530518,0.8816249370574951,0.01707049459218979,0.014068206772208214,0.01614711433649063
sin,0.9,z_image,2000,AGMM,3,0.9372937679290771,0.9297665357589722,0.007802302949130535,0.008738894015550613,0.009366110898554325
sin,0.9,z_image,2000,AGMM,4,0.9083049893379211,0.8322741985321045,0.010434048250317574,0.01908564567565918,0.01908564567565918
sin,0.9,z_image,2000,AGMM,5,0.7985551953315735,0.7579696774482727,0.021039729937911034,0.025278650224208832,0.02459060586988926
